cond,subj,socfr,socresp,socr,foodfr,foodresp,foodr,socresp_r,foodresp_r
1,1,1,17,17,1,116,116,17,116
1,1,1,12,12,1,109,109,12,109
1,1,1,18,18,1,111,111,18,111
1,1,1,19,19,1,94,94,19,94
1,1,1,17,17,1,104,104,17,104
1,1,1,23,23,2,212,106,23,212
1,1,1,23,23,4,332,83,23,332
1,1,1,24,24,8,608,76,24,608
1,1,1,33,33,16,612,36,33,576
1,1,1,27,27,32,104,3,27,96
1,1,1,61,61,64,13,0,61,0
1,1,1,50,50,128,4,0,50,0
1,1,1,73,73,256,3,0,73,0
1,2,1,12,12,1,253,253,12,253
1,2,1,18,18,1,243,243,18,243
1,2,1,18,18,1,245,245,18,245
1,2,1,27,27,1,204,204,27,204
1,2,1,26,26,1,209,209,26,209
1,2,1,20,20,2,440,218,20,436
1,2,1,20,20,4,825,206,20,824
1,2,1,20,20,8,1208,151,20,1208
1,2,1,21,21,16,1166,70,21,1120
1,2,1,15,15,32,1823,54,15,1728
1,2,1,26,26,64,1535,21,26,1344
1,2,1,55,55,128,536,1,55,128
1,2,1,65,65,256,109,0,65,0
1,3,1,27,27,1,181,181,27,181
1,3,1,40,40,1,179,179,40,179
1,3,1,16,16,1,255,255,16,255
1,3,1,20,20,1,232,232,20,232
1,3,1,20,20,1,221,221,20,221
1,3,1,23,23,2,389,194,23,388
1,3,1,24,24,4,668,166,24,664
1,3,1,35,35,8,751,93,35,744
1,3,1,35,35,16,956,54,35,864
1,3,1,28,28,32,181,1,28,32
1,3,1,72,72,64,23,0,72,0
1,3,1,55,55,128,5,0,55,0
1,3,1,75,75,256,3,0,75,0
1,3,1,78,78,512,5,0,78,0
1,4,1,17,17,1,134,134,17,134
1,4,1,23,23,1,127,127,23,127
1,4,1,14,14,1,168,168,14,168
1,4,1,23,23,1,192,192,23,192
1,4,1,21,21,1,133,133,21,133
1,4,1,12,12,2,339,169,12,338
1,4,1,15,15,4,520,130,15,520
1,4,1,26,26,8,817,102,26,816
1,4,1,7,7,16,1293,79,7,1264
1,4,1,22,22,32,1644,49,22,1568
1,4,1,33,33,64,384,3,33,192
1,4,1,42,42,128,31,0,42,0
1,4,1,54,54,256,28,0,54,0
2,1,1,16,16,1,153,152,16,152
2,1,1,17,17,1,147,147,17,147
2,1,1,20,20,1,169,169,20,169
2,1,1,17,17,1,187,187,17,187
2,1,1,24,24,1,163,162,24,162
2,1,2,36,18,1,196,196,36,196
2,1,4,75,18,1,183,181,72,181
2,1,8,90,9,1,187,186,72,186
2,1,16,21,0,1,215,212,0,212
2,2,1,27,27,1,236,236,27,236
2,2,1,20,20,1,238,238,20,238
2,2,1,11,11,1,286,286,11,286
2,2,1,27,27,1,230,230,27,230
2,2,1,20,20,1,265,265,20,265
2,2,2,120,60,1,138,138,120,138
2,2,4,68,17,1,247,247,68,247
2,2,8,117,11,1,209,209,88,209
2,2,16,40,0,1,158,158,0,158
2,2,32,32,0,1,226,226,0,226
2,3,1,10,10,1,185,185,10,185
2,3,1,11,11,1,224,224,11,224
2,3,1,12,12,1,147,147,12,147
2,3,1,10,10,1,209,209,10,209
2,3,1,10,10,1,191,187,10,187
2,3,2,12,6,1,219,219,12,219
2,3,4,28,7,1,143,143,28,143
2,3,8,34,2,1,190,190,16,190
2,3,16,20,0,1,165,165,0,165
2,4,1,22,22,1,175,173,22,173
2,4,1,28,28,1,164,164,28,164
2,4,1,23,23,1,186,186,23,186
2,4,1,26,24,1,182,181,24,181
2,4,2,34,17,1,234,233,34,233
2,4,4,101,23,1,199,199,92,199
2,4,8,69,4,1,196,195,32,195
2,4,16,7,0,1,286,283,0,283
3,2,1,34,34,1,176,176,34,176
3,2,1,44,44,1,133,133,44,133
3,2,1,30,30,1,170,170,30,170
3,2,1,37,37,1,182,182,37,182
3,2,1,42,42,1,175,175,42,175
3,2,2,82,41,2,380,190,82,380
3,2,4,189,47,4,359,88,188,352
3,2,8,126,14,8,1372,171,112,1368
3,2,16,161,8,16,2001,125,128,2000
3,2,32,106,1,32,2273,71,32,2272
3,2,64,15,0,64,3208,50,0,3200
3,3,1,14,14,1,244,244,14,244
3,3,1,11,11,1,267,267,11,267
3,3,1,34,34,1,204,204,34,204
3,3,1,14,14,1,248,248,14,248
3,3,1,22,22,1,251,251,22,251
3,3,2,58,28,2,356,178,56,356
3,3,4,63,15,4,464,116,60,464
3,3,8,47,2,8,984,123,16,984
3,3,16,26,0,16,1225,76,0,1216
3,3,32,19,0,32,1216,38,0,1216
3,3,64,25,0,64,851,13,0,832
4,2,,,,1,216,216,,216
4,2,,,,1,226,226,,226
4,2,,,,1,242,242,,242
4,2,,,,1,232,232,,232
4,2,,,,1,238,238,,238
4,2,,,,2,454,224,,448
4,2,,,,4,1075,268,,1072
4,2,,,,8,1807,225,,1800
4,2,,,,16,3124,195,,3120
4,2,,,,32,3616,113,,3616
4,2,,,,64,1856,29,,1856
4,2,,,,128,1536,12,,1536
4,2,,,,256,1036,4,,1024
4,2,,,,512,335,0,,0
4,3,,,,1,181,181,,181
4,3,,,,1,202,202,,202
4,3,,,,1,258,258,,258
4,3,,,,1,189,189,,189
4,3,,,,1,266,266,,266
4,3,,,,2,320,160,,320
4,3,,,,4,560,140,,560
4,3,,,,8,952,119,,952
4,3,,,,16,1170,70,,1120
4,3,,,,32,1410,44,,1408
4,3,,,,64,1122,17,,1088
4,3,,,,128,392,3,,384
4,3,,,,256,75,0,,0
